pasal,jenis_kendaraan,pasal_hukuman,pasal_tuntutan,merge_var,cluster
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
" pasal 280 jo pasal 68 ayat (1),pasal 285 ayat (1) jo pasal 106 ayat (3)",SEPEDA MOTOR,"Tidak dipasangi TNKB, Tidak teknis laik","Plat palsu, teknik laik","Tidak dipasangi TNKB, Tidak teknis laik, SEPEDA MOTOR",4
 pasal 285 ayat (1) jo pasal 106 ayat (3),SEPEDA MOTOR,Tidak teknis laik,teknik laik,"Tidak teknis laik, SEPEDA MOTOR",8
 pasal 285 ayat (1) jo pasal 106 ayat (3),SEPEDA MOTOR,Tidak teknis laik,teknik laik,"Tidak teknis laik, SEPEDA MOTOR",8
 pasal 288 ayat (2) jo pasal 106 ayat (5) huruf b,SEPEDA MOTOR,Tidak memperlihatkan SIM,Menunjukkan SIM,"Tidak memperlihatkan SIM, SEPEDA MOTOR",1
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 285 ayat (1) jo pasal 106 ayat (3),pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a",SEPEDA MOTOR,"Tidak teknis laik, Tidak ada STNK","teknik laik, STNK","Tidak teknis laik, Tidak ada STNK, SEPEDA MOTOR",0
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
 pasal 288 ayat (2) jo pasal 106 ayat (5) huruf b,SEPEDA MOTOR,Tidak memperlihatkan SIM,Menunjukkan SIM,"Tidak memperlihatkan SIM, SEPEDA MOTOR",1
 pasal 288 ayat (2) jo pasal 106 ayat (5) huruf b,SEPEDA MOTOR,Tidak memperlihatkan SIM,Menunjukkan SIM,"Tidak memperlihatkan SIM, SEPEDA MOTOR",1
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a dan pasal 106 ayat (4) huruf b,SEPEDA MOTOR,Melanggar rambu lalin,"Rambu-rambu, Marka","Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
 pasal 285 ayat (1) jo pasal 106 ayat (3),SEPEDA MOTOR,Tidak teknis laik,teknik laik,"Tidak teknis laik, SEPEDA MOTOR",8
" pasal 281 jo pasal 77 ayat (1),pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a",SEPEDA MOTOR,"No SIM, Tidak ada STNK","Kepemilikan SIM, STNK","No SIM, Tidak ada STNK, SEPEDA MOTOR",2
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
" pasal 281 jo pasal 77 ayat (1),pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a",SEPEDA MOTOR,"No SIM, Tidak ada STNK","Kepemilikan SIM, STNK","No SIM, Tidak ada STNK, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,MINI BUS,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, MINI BUS",5
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a dan pasal 106 ayat (4) huruf b,SEPEDA MOTOR,Melanggar rambu lalin,"Rambu-rambu, Marka","Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 287 ayat (2) jo pasal 106 ayat (4) huruf c,SEPEDA MOTOR,Melanggar isyarat lalin,Alat isyarat lalin,"Melanggar isyarat lalin, SEPEDA MOTOR",3
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,MINI BUS,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, MINI BUS",5
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,MINI BUS,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, MINI BUS",8
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,MINI BUS,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, MINI BUS",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,MINI BUS,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, MINI BUS",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
" pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a,pasal 291 ayat (2) jo pasal 106 ayat (8)",SEPEDA MOTOR,"Tidak ada STNK, Penumpang no helm","STNK, Helm SNI","Tidak ada STNK, Penumpang no helm, SEPEDA MOTOR",0
 pasal 287 ayat (2) jo pasal 106 ayat (4) huruf c,SEPEDA MOTOR,Melanggar isyarat lalin,Alat isyarat lalin,"Melanggar isyarat lalin, SEPEDA MOTOR",3
 pasal 287 ayat (2) jo pasal 106 ayat (4) huruf c,SEPEDA MOTOR,Melanggar isyarat lalin,Alat isyarat lalin,"Melanggar isyarat lalin, SEPEDA MOTOR",3
" pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a,pasal 291 ayat (2) jo pasal 106 ayat (8)",SEPEDA MOTOR,"Tidak ada STNK, Penumpang no helm","STNK, Helm SNI","Tidak ada STNK, Penumpang no helm, SEPEDA MOTOR",0
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
" pasal 281 jo pasal 77 ayat (1),pasal 291 ayat (1) jo pasal 106 ayat (8)",SEPEDA MOTOR,"No SIM, Tidak helm standar","Kepemilikan SIM, Helm SNI","No SIM, Tidak helm standar, SEPEDA MOTOR",2
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,MINI BUS,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, MINI BUS",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 288 ayat (2) jo pasal 106 ayat (5) huruf b,MINI BUS,Tidak memperlihatkan SIM,Menunjukkan SIM,"Tidak memperlihatkan SIM, MINI BUS",1
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a dan pasal 106 ayat (4) huruf b,MINI BUS,Melanggar rambu lalin,"Rambu-rambu, Marka","Melanggar rambu lalin, MINI BUS",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,MINI BUS,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, MINI BUS",5
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
 pasal 291 ayat (1) jo pasal 106 ayat (8),SEPEDA MOTOR,Tidak helm standar,Helm SNI,"Tidak helm standar, SEPEDA MOTOR",7
 pasal 285 ayat (1) jo pasal 106 ayat (3),SEPEDA MOTOR,Tidak teknis laik,teknik laik,"Tidak teknis laik, SEPEDA MOTOR",8
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,SEPEDA MOTOR,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, SEPEDA MOTOR",5
 pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a,MOBIL BARANG/PICK UP,Melanggar rambu lalin,Rambu-rambu,"Melanggar rambu lalin, MOBIL BARANG/PICK UP",5
 pasal 287 ayat (2) jo pasal 106 ayat (4) huruf c,MOBIL BARANG/PICK UP,Melanggar isyarat lalin,Alat isyarat lalin,"Melanggar isyarat lalin, MOBIL BARANG/PICK UP",3
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a, pasal 287 ayat (1) jo pasal 106 ayat (4) huruf a",MOBIL BARANG/PICK UP,"Tidak ada STNK, Melanggar rambu lalin","STNK, Rambu-rambu","Tidak ada STNK, Melanggar rambu lalin, MOBIL BARANG/PICK UP",0
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 308 huruf a jo pasal 173 ayat (1) huruf a,TRUCK BESAR,Melanggar izin trayek,Angkot orang trayek,"Melanggar izin trayek, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 308 huruf a jo pasal 173 ayat (1) huruf a,TRUCK BESAR,Melanggar izin trayek,Angkot orang trayek,"Melanggar izin trayek, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 308 huruf a jo pasal 173 ayat (1) huruf a,TRUCK BESAR,Melanggar izin trayek,Angkot orang trayek,"Melanggar izin trayek, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 308 huruf a jo pasal 173 ayat (1) huruf a,TRUCK BESAR,Melanggar izin trayek,Angkot orang trayek,"Melanggar izin trayek, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 288 ayat (3) jo pasal 106 ayat (5) huruf c,TRUCK BESAR,Tidak ada SKUB,Uji berkala,"Tidak ada SKUB, TRUCK BESAR",8
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 285 ayat (1) jo pasal 106 ayat (3)",SEPEDA MOTOR,"No SIM, Tidak teknis laik","Kepemilikan SIM, teknik laik","No SIM, Tidak teknis laik, SEPEDA MOTOR",2
" pasal 287 ayat (2) jo pasal 106 ayat (4) huruf c,pasal 281 jo pasal 77 ayat (1)",SEPEDA MOTOR,"Melanggar isyarat lalin, No SIM","Alat isyarat lalin, Kepemilikan SIM","Melanggar isyarat lalin, No SIM, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 285 ayat (2) jo pasal 106 ayat (3) jo pasal 48 ayat (2)",SEPEDA MOTOR,"No SIM, r4 no teknis","Kepemilikan SIM, teknik laik","No SIM, r4 no teknis, SEPEDA MOTOR",2
" pasal 285 ayat (1) jo pasal 106 ayat (3),pasal 281 jo pasal 77 ayat (1)",SEPEDA MOTOR,"Tidak teknis laik, No SIM","teknik laik, Kepemilikan SIM","Tidak teknis laik, No SIM, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a",SEPEDA MOTOR,"No SIM, Tidak ada STNK","Kepemilikan SIM, STNK","No SIM, Tidak ada STNK, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 285 ayat (1) jo pasal 106 ayat (3)",SEPEDA MOTOR,"No SIM, Tidak teknis laik","Kepemilikan SIM, teknik laik","No SIM, Tidak teknis laik, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a",SEPEDA MOTOR,"No SIM, Tidak ada STNK","Kepemilikan SIM, STNK","No SIM, Tidak ada STNK, SEPEDA MOTOR",2
" pasal 280 jo pasal 68 ayat (1),pasal 281 jo pasal 77 ayat (1)",SEPEDA MOTOR,"Tidak dipasangi TNKB, No SIM","Plat palsu, Kepemilikan SIM","Tidak dipasangi TNKB, No SIM, SEPEDA MOTOR",2
" pasal 280 jo pasal 68 ayat (1),pasal 281 jo pasal 77 ayat (1)",SEPEDA MOTOR,"Tidak dipasangi TNKB, No SIM","Plat palsu, Kepemilikan SIM","Tidak dipasangi TNKB, No SIM, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 287 ayat (5) jo pasal 106 ayat (4) huruf g atau pasal 115 huruf a",SEPEDA MOTOR,"No SIM, Melanggar batas kecepatan","Kepemilikan SIM, Kecepatan maksimal/minimal","No SIM, Melanggar batas kecepatan, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 280 jo pasal 68 ayat (1),pasal 281 jo pasal 77 ayat (1)",SEPEDA MOTOR,"Tidak dipasangi TNKB, No SIM","Plat palsu, Kepemilikan SIM","Tidak dipasangi TNKB, No SIM, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 285 ayat (1) jo pasal 106 ayat (3)",SEPEDA MOTOR,"No SIM, Tidak teknis laik","Kepemilikan SIM, teknik laik","No SIM, Tidak teknis laik, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 280 jo pasal 68 ayat (1),pasal 281 jo pasal 77 ayat (1)",SEPEDA MOTOR,"Tidak dipasangi TNKB, No SIM","Plat palsu, Kepemilikan SIM","Tidak dipasangi TNKB, No SIM, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 288 ayat (1) jo pasal 106 ayat (5) huruf a",SEPEDA MOTOR,"No SIM, Tidak ada STNK","Kepemilikan SIM, STNK","No SIM, Tidak ada STNK, SEPEDA MOTOR",2
 pasal 281 jo pasal 77 ayat (1),SEPEDA MOTOR,No SIM,Kepemilikan SIM,"No SIM, SEPEDA MOTOR",2
" pasal 280 jo pasal 68 ayat (1),pasal 281 jo pasal 77 ayat (1)",SEPEDA MOTOR,"Tidak dipasangi TNKB, No SIM","Plat palsu, Kepemilikan SIM","Tidak dipasangi TNKB, No SIM, SEPEDA MOTOR",2
" pasal 281 jo pasal 77 ayat (1),pasal 287 ayat (5) jo pasal 106 ayat (4) huruf g atau pasal 115 huruf a",SEPEDA MOTOR,"No SIM, Melanggar batas kecepatan","Kepemilikan SIM, Kecepatan maksimal/minimal","No SIM, Melanggar batas kecepatan, SEPEDA MOTOR",2
" pasal 280 jo pasal 68 ayat (1),pasal 281 jo pasal 77 ayat (1)",SEPEDA MOTOR,"Tidak dipasangi TNKB, No SIM","Plat palsu, Kepemilikan SIM","Tidak dipasangi TNKB, No SIM, SEPEDA MOTOR",2
